UID          PID    PPID  C STIME TTY          TIME CMD
rvasquez    2061    1262  0 dic28 ?        00:00:00 /usr/bin/python3 -Es /usr/bin/seapplet
rvasquez    2079    1262  0 dic28 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
rvasquez    2086    1262  0 dic28 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
rvasquez    2091    1262  0 dic28 ?        00:00:07 /usr/libexec/DiscoverNotifier --check-delay 20
root        2119       1  0 dic28 ?        00:00:00 /usr/sbin/abrt-dbus -t133
rvasquez    2180    1262  0 dic28 ?        00:00:00 /usr/libexec/imsettings-daemon
rvasquez    2432    1262  0 dic28 ?        00:03:31 /usr/share/antigravity/antigravity
rvasquez    2435    2432  0 dic28 ?        00:00:00 /usr/share/antigravity/antigravity --type=zygote --no-zygote-sandbox
rvasquez    2436    2432  0 dic28 ?        00:00:00 /usr/share/antigravity/antigravity --type=zygote
rvasquez    2438    2436  0 dic28 ?        00:00:00 /usr/share/antigravity/antigravity --type=zygote
rvasquez    2453    1262  0 dic28 ?        00:00:00 /usr/share/antigravity/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/rvasquez/.config/Antigravity/Crashpad --annotation=_companyName=Google --annotation=_productName=Antigravity --annotation=_version=1.104.0 --annotation=lsb-release=Fedora Linux 43 (KDE Plasma Desktop Edition) --annotation=plat=Linux --annotation=prod=Electron --annotation=ver=37.3.1 --initial-client-fd=44 --shared-client-connection
rvasquez    2470    2435  8 dic28 ?        00:39:46 /usr/share/antigravity/antigravity --type=zygote --no-zygote-sandbox
